Bathing Water,Lat,Long,Water Company ,Classification
Slapton Sands Torcross,50.2662314933333,-3.65210482762187,South West Water Limited,Excellent
South Shields,54.9997471932089,-1.4090895613675,Northumbrian Water Limited,Excellent
Southend Chalkwell,51.5373978362018,0.67291096820191,Anglian Water Services Limited,Good
Southend Jubilee,51.5277856278895,0.72324513291852,Anglian Water Services Limited,Good
Southend Thorpe Bay,51.5288756695968,0.753590049532803,Anglian Water Services Limited,Excellent
Southend Three Shells,51.5329923298627,0.712019813260905,Anglian Water Services Limited,Excellent
Southend Westcliff Bay,51.5353687855912,0.686924507608679,Anglian Water Services Limited,Excellent
Southport,53.6531912376922,-3.02730139881767,United Utilities Water Limited,Good
Southsea East,50.7786645150506,-1.07943783420055,Southern Water Services Limited,Good
Southwick,50.8287511053224,-0.235618077916229,Southern Water Services Limited,Excellent
